Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Carson Wentz,IND,16,22,158,1,0,1,7,24,107.8,3,8,0,7,0,0,0,0,0,0,0,202112050,htx
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,32,143,2,16,0,0,0,0,0,1,1,202112050,htx
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,2,33,0,25,8,6,77,0,17,0,0,202112050,htx
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,3,24,0,10,4,3,32,0,24,0,0,202112050,htx
Deon Jackson,IND,0,0,0,0,0,0,0,0,,6,19,1,10,0,0,0,0,0,0,0,202112050,htx
Zach Pascal,IND,0,0,0,0,0,0,0,0,,1,12,0,12,3,1,6,0,6,0,0,202112050,htx
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,14,0,0,202112050,htx
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202112050,htx
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,202112050,htx
Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0,202112050,htx
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,202112050,htx
Sam Ehlinger,IND,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,202112050,htx
Davis Mills,HOU,6,14,49,0,0,2,13,14,52.4,2,11,0,8,0,0,0,0,0,0,0,202112050,htx
Tyrod Taylor,HOU,5,13,45,0,1,2,24,15,16.5,3,15,0,7,0,0,0,0,0,0,0,202112050,htx
Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,8,30,0,7,2,1,15,0,15,0,0,202112050,htx
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,1,16,0,16,6,3,38,0,14,0,0,202112050,htx
Royce Freeman,HOU,0,0,0,0,0,0,0,0,,3,10,0,5,1,1,11,0,11,0,0,202112050,htx
Jaylen Samuels,HOU,0,0,0,0,0,0,0,0,,2,2,0,2,1,0,0,0,0,0,0,202112050,htx
Pharaoh Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,23,0,12,1,1,202112050,htx
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,0,5,0,0,202112050,htx
Davion Davis,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202112050,htx
Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,202112050,htx
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202112050,htx
