Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Kyler Murray,ARI,23,41,257,1,1,2,20,27,72.9,4,3,0,4,0,0,0,0,0,1,0,202112190,det
Colt McCoy,ARI,6,9,56,0,0,0,0,13,83.6,1,3,0,3,0,0,0,0,0,0,0,202112190,det
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,6,53,0,23,1,0,0,0,0,0,0,202112190,det
James Conner,ARI,0,0,0,0,0,0,0,0,,8,39,0,22,2,2,31,0,16,0,0,202112190,det
Jonathan Ward,ARI,0,0,0,0,0,0,0,0,,1,6,0,6,2,1,9,0,9,0,0,202112190,det
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,1,1,0,1,3,3,9,0,10,0,0,202112190,det
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,94,1,26,0,0,202112190,det
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,74,0,20,0,0,202112190,det
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,64,0,27,0,0,202112190,det
Antoine Wesley,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,19,0,7,0,0,202112190,det
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202112190,det
Jared Goff,DET,21,26,216,3,0,2,4,37,139.7,0,0,0,0,0,0,0,0,0,0,0,202112190,det
Craig Reynolds,DET,0,0,0,0,0,0,0,0,,26,112,0,27,1,1,5,0,5,0,0,202112190,det
Jermar Jefferson,DET,0,0,0,0,0,0,0,0,,5,9,0,6,0,0,0,0,0,0,0,202112190,det
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,1,5,0,5,11,8,90,1,37,0,0,202112190,det
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,68,1,22,0,0,202112190,det
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,15,0,0,202112190,det
Shane Zylstra,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0,202112190,det
Godwin Igwebuike,DET,0,0,0,0,0,0,0,0,,2,0,0,0,2,2,11,0,13,1,1,202112190,det
Jason Cabinda,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,1,6,0,0,202112190,det
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202112190,det
