Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Sean Mannion,MIN,22,36,189,1,0,2,15,30,84.1,2,14,0,11,0,0,0,0,0,0,0,202201020,gnb
Kellen Mond,MIN,2,3,5,0,0,0,0,6,70.1,0,0,0,0,0,0,0,0,0,0,0,202201020,gnb
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,9,13,0,6,3,3,0,0,1,0,0,202201020,gnb
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,58,0,16,0,0,202201020,gnb
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,50,1,30,0,0,202201020,gnb
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,47,0,15,0,0,202201020,gnb
Garrett Bradbury,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0,202201020,gnb
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,13,0,7,0,0,202201020,gnb
Dede Westbrook,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,202201020,gnb
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,202201020,gnb
Aaron Rodgers,GNB,29,38,288,2,0,0,0,30,114.8,2,8,0,5,0,0,0,0,0,0,0,202201020,gnb
Jordan Love,GNB,2,4,19,0,0,0,0,12,63.5,2,9,0,10,0,0,0,0,0,0,0,202201020,gnb
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,8,76,0,28,6,5,30,0,12,0,0,202201020,gnb
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,14,63,2,9,3,2,20,0,11,0,0,202201020,gnb
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,6,18,0,11,0,0,0,0,0,0,0,202201020,gnb
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,136,1,30,0,0,202201020,gnb
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,72,1,20,0,0,202201020,gnb
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0,202201020,gnb
Juwann Winfree,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,202201020,gnb
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,7,0,0,202201020,gnb
Tyler Davis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,9,0,0,202201020,gnb
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,3,0,3,0,0,202201020,gnb
Dominique Dafney,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202201020,gnb
