Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Gardner Minshew II,LVR,25,33,257,1,1,4,32,33,95.1,3,5,0,3,0,0,0,0,0,1,1,202409080,sdg
Zamir White,LVR,0,0,0,0,0,0,0,0,,13,44,0,12,2,2,2,0,1,1,1,202409080,sdg
Alexander Mattison,LVR,0,0,0,0,0,0,0,0,,5,19,0,7,6,4,43,1,31,0,0,202409080,sdg
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,61,0,33,0,0,202409080,sdg
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,23,0,0,202409080,sdg
Brock Bowers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,58,0,26,0,0,202409080,sdg
Tre Tucker,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,14,0,0,202409080,sdg
DJ Turner,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,202409080,sdg
Michael Mayer,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,3,0,3,0,0,202409080,sdg
Justin Herbert,LAC,17,26,144,1,0,1,4,27,92.5,4,6,0,8,0,0,0,0,0,0,0,202409080,sdg
J.K. Dobbins,LAC,0,0,0,0,0,0,0,0,,10,135,1,61,3,3,4,0,3,0,0,202409080,sdg
Gus Edwards,LAC,0,0,0,0,0,0,0,0,,11,26,0,10,1,1,2,0,2,0,0,202409080,sdg
Derius Davis,LAC,0,0,0,0,0,0,0,0,,2,9,0,6,0,0,0,0,0,0,0,202409080,sdg
Ladd McConkey,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,39,1,11,0,0,202409080,sdg
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,16,0,0,202409080,sdg
Hayden Hurst,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,33,0,27,0,0,202409080,sdg
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,15,0,11,0,0,202409080,sdg
Will Dissly,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202409080,sdg
Scott Matlock,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202409080,sdg
