Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Jacoby Brissett,CLE,22,35,212,1,0,3,27,38,89.2,7,40,0,14,0,0,0,0,0,0,0,202211130,mia
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,11,63,1,33,4,3,18,0,9,1,1,202211130,mia
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,6,9,0,7,1,1,10,0,10,0,0,202211130,mia
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,99,0,38,0,0,202211130,mia
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,12,0,0,202211130,mia
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,13,0,0,202211130,mia
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,1,12,0,0,202211130,mia
Pharaoh Brown,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,8,0,0,202211130,mia
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,202211130,mia
Michael Woods II,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202211130,mia
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0,202211130,mia
Tua Tagovailoa,MIA,25,32,285,3,0,0,0,29,135.0,1,0,0,0,0,0,0,0,0,0,0,202211130,mia
Skylar Thompson,MIA,1,1,17,0,0,0,0,17,118.7,3,0,0,0,0,0,0,0,0,0,0,202211130,mia
Cedrick Wilson Jr.,MIA,0,0,0,0,0,1,6,0,,0,0,0,0,1,1,7,0,7,0,0,202211130,mia
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,17,119,1,20,5,2,24,0,14,0,0,202211130,mia
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,8,65,1,24,4,4,22,0,8,0,0,202211130,mia
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,3,11,0,7,0,0,0,0,0,0,0,202211130,mia
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,66,0,29,0,0,202211130,mia
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,63,1,27,0,0,202211130,mia
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,45,1,17,0,0,202211130,mia
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,1,20,0,0,202211130,mia
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,31,0,16,0,0,202211130,mia
Robert Hunt,MIA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,202211130,mia
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,202211130,mia
